"Types of vehicle";"Periods";"Kilometres in the Netherlands/Total kilometres in the Netherlands (million km)";"Kilometres in the Netherlands/Kilometres by Dutch vehicles (million km)";"Kilometres in the Netherlands/Kilometres by foreign vehicles (million km)";"Kilometres by Dutch vehicles/Total kilometres by Dutch vehicles (million km)";"Kilometres by Dutch vehicles/Kilometres in the Netherlands (million km)";"Kilometres by Dutch vehicles/Kilometres abroad (million km)"
"Total motor vehicles";"2006";"125715.6";"119536.9";"  6178.7";"138308.5";"119536.9";" 18771.6"
"Total motor vehicles";"2007";"128007.3";"121694.2";"  6313.1";"141186.4";"121694.2";" 19492.2"
"Total motor vehicles";"2008";"127536.9";"121355.7";"  6181.2";"142922.3";"121355.7";" 21566.7"
"Total motor vehicles";"2009";"127297.3";"121232.1";"  6065.2";"141948.5";"121232.1";" 20716.4"
"Total motor vehicles";"2010";"127928.1";"121809.3";"  6118.9";"140983.9";"121809.3";" 19174.6"
"Total motor vehicles";"2011";"128286.0";"122071.1";"  6214.9";"142927.2";"122071.1";" 20856.1"
"Total motor vehicles";"2012";"127896.2";"121744.2";"  6152.0";"141354.9";"121744.2";" 19610.7"
"Total motor vehicles";"2013";"127233.2";"121058.9";"  6174.3";"140850.0";"121058.9";" 19791.1"
"Total motor vehicles";"2014";"127680.2";"121228.0";"  6452.2";"141383.4";"121228.0";" 20155.4"
"Total motor vehicles";"2015";"129615.8";"122988.4";"  6627.4";"143026.0";"122988.4";" 20037.6"
"Total motor vehicles";"2016";"133256.1";"126275.7";"  6980.4";"146589.1";"126275.7";" 20313.3"
"Total motor vehicles";"2017";"135175.4";"128017.1";"  7158.4";"148524.6";"128017.1";" 20507.5"
"Total motor vehicles";"2018";"137166.7";"129973.9";"  7192.8";"150755.2";"129973.9";" 20781.2"
"Passenger car";"2006";"100468.3";" 95800.0";"  4668.3";"109346.3";" 95800.0";" 13546.3"
"Passenger car";"2007";"102218.4";" 97500.0";"  4718.4";"111630.7";" 97500.0";" 14130.7"
"Passenger car";"2008";"101250.2";" 96654.8";"  4595.5";"113064.6";" 96654.8";" 16409.9"
"Passenger car";"2009";"101514.0";" 96978.1";"  4535.9";"112892.3";" 96978.1";" 15914.2"
"Passenger car";"2010";"102307.6";" 97669.0";"  4638.5";"112388.3";" 97669.0";" 14719.3"
"Passenger car";"2011";"102956.4";" 98190.0";"  4766.4";"114538.4";" 98190.0";" 16348.4"
"Passenger car";"2012";"103122.1";" 98397.6";"  4724.5";"113722.8";" 98397.6";" 15325.2"
"Passenger car";"2013";"103211.2";" 98482.6";"  4728.6";"113821.0";" 98482.6";" 15338.4"
"Passenger car";"2014";"103699.1";" 98707.1";"  4992.0";"114511.0";" 98707.1";" 15803.9"
"Passenger car";"2015";"105088.9";" 99968.7";"  5120.3";"115913.1";" 99968.7";" 15944.4"
"Passenger car";"2016";"107708.1";"102394.2";"  5313.9";"118725.4";"102394.2";" 16331.2"
"Passenger car";"2017";"108936.1";"103515.6";"  5420.5";"120025.7";"103515.6";" 16510.1"
"Passenger car";"2018";"110355.9";"104898.3";"  5457.6";"121628.9";"104898.3";" 16730.6"
"Delivery van";"2006";" 17253.1";" 16562.9";"   690.1";" 17253.1";" 16562.9";"   690.1"
"Delivery van";"2007";" 17567.7";" 16865.0";"   702.7";" 17567.7";" 16865.0";"   702.7"
